road_id,order,lat,lon
br-376,278,-25.926077810343127,-48.912393666662524
br-376,279,-25.92589660664022,-48.91248888997925
br-376,280,-25.925721241962517,-48.91259445485988
br-376,281,-25.9255592150482,-48.91271906967412
br-376,282,-25.92540838847185,-48.91285711108489
br-376,283,-25.925269423185217,-48.913007289923286
br-376,284,-25.92514323033129,-48.91316839106757
br-376,285,-25.925029902271135,-48.913338930126365
br-376,286,-25.924922748547193,-48.91351341861865
br-376,287,-25.924823739768613,-48.91369260061697
br-376,288,-25.924731486080002,-48.913875372808775
br-376,289,-25.924641093296586,-48.914059104404316
br-376,290,-25.92455070051317,-48.914242835999865
br-376,291,-25.92445359765947,-48.91442310205425
br-376,292,-25.924346402303986,-48.91459750588577
br-376,293,-25.92422697579553,-48.91476368809088
br-376,294,-25.924095397617467,-48.91492041313841
br-376,295,-25.923952891017226,-48.9150673403595
br-376,296,-25.923799710342685,-48.91520292005921
br-376,297,-25.923636843836192,-48.915326947626845
br-376,298,-25.923471053241034,-48.91544711252485
br-376,299,-25.923304784461966,-48.915566623392984
br-376,300,-25.923138515682897,-48.915686134261115
br-376,301,-25.92297224690383,-48.915805645129254
br-376,302,-25.922805978124764,-48.915925155997385
br-376,303,-25.922639709345695,-48.91604466686552
br-376,304,-25.92247338387157,-48.916164098536015
br-376,305,-25.92230665658677,-48.91628296891499
br-376,306,-25.92213992930197,-48.91640183929397
br-376,307,-25.921973002967498,-48.91652042998366
br-376,308,-25.92180607381275,-48.91663901671054
br-376,309,-25.921639144658005,-48.91675760343741
br-376,310,-25.921472215503258,-48.91687619016428
br-376,311,-25.921305286348513,-48.91699477689116
br-376,312,-25.92113835719377,-48.91711336361803
br-376,313,-25.92097142803902,-48.9172319503449
br-376,314,-25.920804498884277,-48.91735053707177
br-376,315,-25.920637569729532,-48.91746912379865
br-376,316,-25.920470640574784,-48.91758771052552
br-376,317,-25.92030371142004,-48.91770629725239
br-376,318,-25.920136782265295,-48.917824883979264
br-376,319,-25.919969853110548,-48.917943470706135
br-376,320,-25.919802923955803,-48.918062057433005
br-376,321,-25.91963599480106,-48.91818064415988
br-376,322,-25.91946640036966,-48.91829516876391
br-376,323,-25.919288931163827,-48.91839696662422
br-376,324,-25.919104354206937,-48.918485620453694
br-376,325,-25.918913256791814,-48.918559121658326
br-376,326,-25.91871815205645,-48.91862122115481
br-376,327,-25.918520369431036,-48.918673991240254
br-376,328,-25.91832182981942,-48.91872409290803
br-376,329,-25.918123290207802,-48.9187741945758
br-376,330,-25.917924750596185,-48.91882429624357
br-376,331,-25.91772621098457,-48.918874397911345
br-376,332,-25.91752767137295,-48.91892449957911
br-376,333,-25.917329131761335,-48.91897460124689
br-376,334,-25.917130592149718,-48.919024702914655
br-376,335,-25.9169320525381,-48.91907480458243
br-376,336,-25.916733512926484,-48.919124906250204
br-376,337,-25.916534973314867,-48.91917500791797
br-376,338,-25.91633643370325,-48.919225109585746
br-376,339,-25.916137894091634,-48.91927521125351
br-376,340,-25.915939354480017,-48.91932531292129
br-376,341,-25.9157408148684,-48.919375414589055
br-376,342,-25.91554179056896,-48.91942354893393
br-376,343,-25.91534253236011,-48.91947067380349
br-376,344,-25.91514157656188,-48.919509797003094
br-376,345,-25.914938568667033,-48.91953548404001
br-376,346,-25.914734206417453,-48.91954725293106
br-376,347,-25.914529786959875,-48.91953919595602
br-376,348,-25.91432692499598,-48.919512201523474
br-376,349,-25.914126200620398,-48.9194719515393
br-376,350,-25.913927627555232,-48.91942220880539
br-376,351,-25.91373119033965,-48.919364581826116
br-376,352,-25.913535775873484,-48.919303415324606
br-376,353,-25.91333930728246,-48.919245919789255
br-376,354,-25.913139833169566,-48.9192000625116
br-376,355,-25.912937496175147,-48.91916983251809
br-376,356,-25.91273318227658,-48.9191582517238
br-376,357,-25.912528591824874,-48.91916253752919
br-376,358,-25.912325059140574,-48.91918348929841
br-376,359,-25.91212470850482,-48.91922429700119
br-376,360,-25.911928905947477,-48.91928321168683
br-376,361,-25.911738228503644,-48.91935760598594
br-376,362,-25.911551976701013,-48.9194425177901
br-376,363,-25.911368479337177,-48.91953338464891
br-376,364,-25.9111846475028,-48.919623573401886
br-376,365,-25.91100081566842,-48.91971376215486
br-376,366,-25.910816325220278,-48.919802543742364
br-376,367,-25.910629308578244,-48.919885927974065
br-376,368,-25.910436812472096,-48.91995566017344
br-376,369,-25.910239575991138,-48.92001022581602
br-376,370,-25.910038498451254,-48.92004870541025
br-376,371,-25.909836335468253,-48.92008113547128
br-376,372,-25.909633451967263,-48.92010882011539
br-376,373,-25.90943056846627,-48.920136504759505
br-376,374,-25.90922768496528,-48.92016418940362
br-376,375,-25.909024801464287,-48.92019187404774
br-376,376,-25.908821917963298,-48.920219558691855
br-376,377,-25.908619034462305,-48.92024724333597
br-376,378,-25.908416150961312,-48.92027492798008
br-376,379,-25.908213267460322,-48.9203026126242
br-376,380,-25.90801038395933,-48.920330297268315
br-376,381,-25.90780750045834,-48.92035798191243
br-376,382,-25.907604616957347,-48.92038566655655
br-376,383,-25.907401733456354,-48.920413351200665
br-376,384,-25.907198849955364,-48.920441035844775
br-376,385,-25.90699596645437,-48.92046872048889
br-376,386,-25.90679329922369,-48.92049792325936
br-376,387,-25.906590755814793,-48.920527995206534
br-376,388,-25.906390002649022,-48.920568238355465
br-376,389,-25.906192117581398,-48.920620218979494
br-376,390,-25.90599948048532,-48.92068882298853
br-376,391,-25.9058128109517,-48.9207727717196
br-376,392,-25.905633657303504,-48.92087095767846
br-376,393,-25.905465671047935,-48.920987909508305
br-376,394,-25.905304890924263,-48.921114387670016
br-376,395,-25.90515550315056,-48.921254428548195
br-376,396,-25.905023187038545,-48.92141065445587
br-376,397,-25.904901412118065,-48.92157516861278
br-376,398,-25.90478721637666,-48.921744976278276
br-376,399,-25.904679692858096,-48.921919237138624
br-376,400,-25.90457216933953,-48.92209349799898
br-376,401,-25.90445878181845,-48.92226399809823
br-376,402,-25.90433560161649,-48.9224274330513
br-376,403,-25.90419835578666,-48.922579013893575
br-376,404,-25.904050490991537,-48.922720551996356
br-376,405,-25.903899453396498,-48.9228588118943
br-376,406,-25.90374667839133,-48.92299513796965
br-376,407,-25.90359309269424,-48.92313056170518
br-376,408,-25.90343950699715,-48.92326598544071
br-376,409,-25.90328592130006,-48.92340140917623
br-376,410,-25.90313233560297,-48.92353683291176
br-376,411,-25.90297874990588,-48.92367225664728
br-376,412,-25.90282516420879,-48.92380768038281
br-376,413,-25.9026715785117,-48.92394310411834
br-376,414,-25.90251799281461,-48.92407852785386
br-376,415,-25.90236440711752,-48.92421395158939
br-376,416,-25.90221082142043,-48.92434937532491
br-376,417,-25.90205723572334,-48.92448479906044
br-376,418,-25.90190365002625,-48.924620222795966
br-376,419,-25.90175006432916,-48.92475564653149
br-376,420,-25.90159647863207,-48.924891070267016
br-376,421,-25.90144289293498,-48.92502649400254
br-376,422,-25.90128930723789,-48.925161917738066
br-376,423,-25.9011357215408,-48.925297341473595
br-376,424,-25.90098213584371,-48.925432765209116
br-376,425,-25.90082855014662,-48.925568188944645
br-376,426,-25.90067496444953,-48.925703612680174
br-376,427,-25.90052137875244,-48.925839036415695
br-376,428,-25.90036779305535,-48.925974460151224
br-376,429,-25.90021420735826,-48.926109883886745
br-376,430,-25.90006062166117,-48.926245307622274
br-376,431,-25.89990703596408,-48.9263807313578
br-376,432,-25.89975345026699,-48.926516155093324
br-376,433,-25.8995998645699,-48.92665157882885
br-376,434,-25.89944611372871,-48.92678681498596
br-376,435,-25.899292322858187,-48.92692200567587
br-376,436,-25.899138531987663,-48.92705719636577
br-376,437,-25.89898474111714,-48.92719238705568
br-376,438,-25.898830950246616,-48.927327577745594
br-376,439,-25.898677159376092,-48.927462768435504
br-376,440,-25.89852336850557,-48.92759795912541
br-376,441,-25.898369577635044,-48.92773314981532
br-376,442,-25.89821578676452,-48.92786834050523
br-376,443,-25.898061995893997,-48.92800353119513
br-376,444,-25.897908205023473,-48.92813872188504
br-376,445,-25.897754414152946,-48.92827391257495
br-376,446,-25.897600623282422,-48.92840910326486
br-376,447,-25.897446832411898,-48.928544293954765
br-376,448,-25.897291246793387,-48.92867740500292
br-376,449,-25.897134977831776,-48.928809722504916
br-376,450,-25.896975993500767,-48.92893876566432
br-376,451,-25.89681488645836,-48.92906510066848
br-376,452,-25.896651350348293,-48.929188321807366
br-376,453,-25.89648689314301,-48.92931031353711
br-376,454,-25.896319027117514,-48.929427531365675
br-376,455,-25.896150256373275,-48.929543482175866
br-376,456,-25.895981485629033,-48.92965943298606
br-376,457,-25.895812714884794,-48.92977538379624
br-376,458,-25.895643944140556,-48.92989133460643
br-376,459,-25.895475173396314,-48.930007285416615
br-376,460,-25.895306402652075,-48.930123236226805
br-376,461,-25.895137631907836,-48.930239187036996
br-376,462,-25.894968861163598,-48.93035513784718
br-376,463,-25.894800090419356,-48.93047108865737
br-376,464,-25.894631319675117,-48.930587039467554
br-376,465,-25.89446254893088,-48.930702990277744
br-376,466,-25.894293778186636,-48.93081894108793
br-376,467,-25.894125007442398,-48.93093489189812
br-376,468,-25.89395623669816,-48.93105084270831
br-376,469,-25.893787465953917,-48.93116679351849
br-376,470,-25.89361869520968,-48.93128274432868
br-376,471,-25.89344992446544,-48.93139869513887
br-376,472,-25.8932811537212,-48.93151464594906
br-376,473,-25.89311238297696,-48.93163059675925
br-376,474,-25.89294361223272,-48.93174654756943
br-376,475,-25.89277484148848,-48.93186249837962
br-376,476,-25.89260607074424,-48.931978449189806
br-376,477,-25.8924373,-48.9320944
br-376,478,-25.9313066,-48.9120644
br-376,479,-25.931555291541674,-48.912018942695696
br-376,480,-25.931803269744808,-48.91196981022074
br-376,481,-25.93204787263869,-48.911906101046725
br-376,482,-25.9712229,-48.8921288
br-376,483,-25.9715047,-48.8918879
br-376,484,-25.970782447132304,-48.89233245763135
br-376,485,-25.970625694264605,-48.892466215262694
br-376,486,-25.97046894139691,-48.89259997289404
br-376,487,-25.97031218852921,-48.892733730525386
br-376,488,-25.970155435661514,-48.892867488156725
br-376,489,-25.969998682793815,-48.89300124578807
br-376,490,-25.96984193082071,-48.89313500446779
br-376,491,-25.969685180471952,-48.89326876505107
br-376,492,-25.969528430123198,-48.89340252563434
br-376,493,-25.969371679774444,-48.893536286217625
br-376,494,-25.969214929425686,-48.89367004680091
br-376,495,-25.96905817907693,-48.89380380738419
br-376,496,-25.968901428728177,-48.89393756796747
br-376,497,-25.968744678379423,-48.89407132855075
br-376,498,-25.968587928030665,-48.89420508913403
br-376,499,-25.96843117768191,-48.89433884971731
br-376,500,-25.968274427333156,-48.89447261030059
br-376,501,-25.968117676984402,-48.89460637088387
br-376,502,-25.967960926635644,-48.89474013146715
br-376,503,-25.96780417628689,-48.894873892050434
br-376,504,-25.96764728188536,-48.89500748329924
br-376,505,-25.967490123758633,-48.89514076453827
br-376,506,-25.967332965631908,-48.895274045777306
br-376,507,-25.967175912643132,-48.89540745084757
br-376,508,-25.967018905149168,-48.89554090950152
br-376,509,-25.966861897655203,-48.89567436815547
br-376,510,-25.96670489016124,-48.89580782680941
br-376,511,-25.96654788266727,-48.89594128546336
br-376,512,-25.966390875173307,-48.89607474411731
br-376,513,-25.966233867679342,-48.896208202771255
br-376,514,-25.966076860185378,-48.896341661425204
br-376,515,-25.965919852691414,-48.89647512007915
br-376,516,-25.965761056174248,-48.89660644315847
br-376,517,-25.965597998197,-48.89673239494528
br-376,518,-25.965432034019855,-48.896854489747916
br-376,519,-25.965263277677643,-48.896972682297246
br-376,520,-25.965088285805955,-48.89708149594674
br-376,521,-25.964911162674845,-48.89718677152557
br-376,522,-25.96473085486757,-48.89728628899331
br-376,523,-25.964545301753674,-48.89737584759098
br-376,524,-25.964356265187728,-48.897457866099515
br-376,525,-25.964163893646642,-48.897531729186746
br-376,526,-25.963969313284238,-48.897599505114044
br-376,527,-25.963772017112124,-48.89765857938329
br-376,528,-25.963572879994203,-48.89771155441342
br-376,529,-25.96337340432157,-48.89776324601333
br-376,530,-25.96317392864893,-48.897814937613234
br-376,531,-25.96297493312176,-48.89786839374216
br-376,532,-25.96277703087729,-48.89792578198044
br-376,533,-25.96258033314376,-48.89798720320721
br-376,534,-25.962386675313212,-48.898057508841624
br-376,535,-25.96219842190852,-48.898141287193475
br-376,536,-25.96201305638996,-48.898231267307835
br-376,537,-25.96183713297299,-48.89833829768076
br-376,538,-25.96166599826996,-48.89845291673092
br-376,539,-25.961501475709422,-48.898576809736824
br-376,540,-25.961344272098778,-48.89871003732509
br-376,541,-25.96119043809394,-48.89884682980469
br-376,542,-25.961049700028095,-48.89899733633298
br-376,543,-25.96092108059837,-48.89915832894121
br-376,544,-25.960796112788216,-48.89932217110102
br-376,545,-25.960671379919415,-48.89948619633358
br-376,546,-25.960546647050613,-48.89965022156613
