geometry,road_id
POINT (-47.8619846 -22.0362352),sao_carlos
POINT (-47.8620686 -22.0364628),sao_carlos
POINT (-47.8619586 -22.036602),sao_carlos
POINT (-47.8618044 -22.0368059),sao_carlos
POINT (-47.8615791 -22.0371316),sao_carlos
POINT (-47.8614731 -22.0373342),sao_carlos
POINT (-47.8614289 -22.0374697),sao_carlos
POINT (-47.861402 -22.0376102),sao_carlos
POINT (-47.8613833 -22.0378302),sao_carlos
POINT (-47.8613994 -22.0380689),sao_carlos
POINT (-47.8614208 -22.0383896),sao_carlos
POINT (-47.8714136 -22.0316182),sao_carlos
POINT (-47.8714096 -22.03155),sao_carlos
POINT (-47.8714078 -22.0314743),sao_carlos
POINT (-47.8713886 -22.0311243),sao_carlos
POINT (-47.8711427 -22.0268174),sao_carlos
POINT (-47.8711319 -22.026699),sao_carlos
POINT (-47.8711442 -22.0265822),sao_carlos
POINT (-47.8711593 -22.0265199),sao_carlos
POINT (-47.8711787 -22.0264636),sao_carlos
POINT (-47.871219 -22.0263996),sao_carlos
POINT (-47.8712657 -22.0263416),sao_carlos
POINT (-47.8512707 -22.0373622),sao_carlos
POINT (-47.8516462 -22.037415),sao_carlos
POINT (-47.8522463 -22.0375318),sao_carlos
POINT (-47.8529021 -22.0376934),sao_carlos
POINT (-47.8532843 -22.0378091),sao_carlos
POINT (-47.8537954 -22.0379515),sao_carlos
POINT (-47.8503983 -22.0372845),sao_carlos
POINT (-47.8495064 -22.0372571),sao_carlos
POINT (-47.8490982 -22.0372764),sao_carlos
POINT (-47.8468337 -22.0373782),sao_carlos
POINT (-47.8438529 -22.0375132),sao_carlos
POINT (-47.8430739 -22.0375313),sao_carlos
POINT (-47.8512499 -22.0374187),sao_carlos
POINT (-47.8512264 -22.037471),sao_carlos
POINT (-47.8511896 -22.037512),sao_carlos
POINT (-47.8511157 -22.0375567),sao_carlos
POINT (-47.8504224 -22.0378426),sao_carlos
POINT (-47.8503071 -22.0378911),sao_carlos
POINT (-47.8502481 -22.037947),sao_carlos
POINT (-47.8501998 -22.0380241),sao_carlos
POINT (-47.8501864 -22.0380975),sao_carlos
POINT (-47.8502655 -22.038632),sao_carlos
POINT (-47.8503406 -22.0392591),sao_carlos
POINT (-47.8503607 -22.0394152),sao_carlos
POINT (-47.8503741 -22.0396364),sao_carlos
POINT (-47.8503781 -22.0406334),sao_carlos
POINT (-47.8503846 -22.0407208),sao_carlos
POINT (-47.8618895 -22.0417042),sao_carlos
POINT (-47.8618245 -22.041327),sao_carlos
POINT (-47.861563 -22.0399559),sao_carlos
POINT (-47.8613323 -22.0386221),sao_carlos
POINT (-47.8594391 -22.0425603),sao_carlos
POINT (-47.8596958 -22.0428086),sao_carlos
POINT (-47.8597702 -22.04287),sao_carlos
POINT (-47.8598477 -22.0429269),sao_carlos
POINT (-47.8599131 -22.0429646),sao_carlos
POINT (-47.8599879 -22.0430012),sao_carlos
POINT (-47.8600489 -22.0430251),sao_carlos
POINT (-47.8601143 -22.0430497),sao_carlos
POINT (-47.8602096 -22.0430833),sao_carlos
POINT (-47.8603208 -22.0431071),sao_carlos
POINT (-47.860435 -22.043125),sao_carlos
POINT (-47.8605414 -22.0431342),sao_carlos
POINT (-47.8606374 -22.0431392),sao_carlos
POINT (-47.8607111 -22.0431337),sao_carlos
POINT (-47.8607972 -22.0431253),sao_carlos
POINT (-47.8608924 -22.0431086),sao_carlos
POINT (-47.8609689 -22.043089),sao_carlos
POINT (-47.8610584 -22.0430619),sao_carlos
POINT (-47.8611384 -22.043034),sao_carlos
POINT (-47.8612204 -22.0429917),sao_carlos
POINT (-47.8613028 -22.0429465),sao_carlos
POINT (-47.8613848 -22.0428934),sao_carlos
POINT (-47.8614777 -22.0428279),sao_carlos
POINT (-47.86156 -22.0427444),sao_carlos
POINT (-47.8616461 -22.0426491),sao_carlos
POINT (-47.8617145 -22.0425574),sao_carlos
POINT (-47.8617915 -22.0424053),sao_carlos
POINT (-47.8618247 -22.0423238),sao_carlos
POINT (-47.8618451 -22.042251),sao_carlos
POINT (-47.8618653 -22.0421691),sao_carlos
POINT (-47.8618791 -22.042076),sao_carlos
POINT (-47.8618802 -22.041974),sao_carlos
POINT (-47.8618877 -22.0418789),sao_carlos
POINT (-47.858689 -22.0416759),sao_carlos
POINT (-47.8585929 -22.0415462),sao_carlos
POINT (-47.8581687 -22.0409908),sao_carlos
POINT (-47.8576646 -22.0404397),sao_carlos
POINT (-47.8570414 -22.0398841),sao_carlos
POINT (-47.856583 -22.0395246),sao_carlos
POINT (-47.8557641 -22.0389547),sao_carlos
POINT (-47.8553371 -22.0386957),sao_carlos
POINT (-47.8548922 -22.0384556),sao_carlos
POINT (-47.8541848 -22.0381113),sao_carlos
POINT (-47.8858632 -22.0095206),sao_carlos
POINT (-47.8858556 -22.0102959),sao_carlos
POINT (-47.8858575 -22.0103828),sao_carlos
POINT (-47.8867525 -22.0095447),sao_carlos
POINT (-47.8868357 -22.0095471),sao_carlos
POINT (-47.8820319 -21.9907113),sao_carlos
POINT (-47.8822103 -21.9907877),sao_carlos
POINT (-47.8824368 -21.9908894),sao_carlos
POINT (-47.8825768 -21.9909619),sao_carlos
POINT (-47.8787726 -21.9888038),sao_carlos
POINT (-47.879934 -21.9894716),sao_carlos
POINT (-47.8811523 -21.9901873),sao_carlos
POINT (-47.7631854 -22.0286228),sao_carlos
POINT (-47.7631514 -22.0285077),sao_carlos
POINT (-47.7631192 -22.0284232),sao_carlos
POINT (-47.7630575 -22.0283014),sao_carlos
POINT (-47.7629502 -22.028131),sao_carlos
POINT (-47.7628322 -22.0279719),sao_carlos
POINT (-47.7625345 -22.0275952),sao_carlos
POINT (-47.7622233 -22.0271949),sao_carlos
POINT (-47.7630442 -22.0286963),sao_carlos
POINT (-47.7628215 -22.028803),sao_carlos
POINT (-47.7625291 -22.0289516),sao_carlos
POINT (-47.7622998 -22.0290572),sao_carlos
POINT (-47.7620812 -22.029148),sao_carlos
POINT (-47.7618156 -22.0292524),sao_carlos
POINT (-47.7609091 -22.0295914),sao_carlos
POINT (-47.7605765 -22.0297037),sao_carlos
POINT (-47.7629167 -22.0284767),sao_carlos
POINT (-47.7625524 -22.0282946),sao_carlos
